STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-12-05,,,0.00,0.0,0.0,82,45,45,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-12-06,,,0.00,0.0,0.0,58,35,39,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-12-07,,,0.00,0.0,0.0,58,32,45,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-12-08,,,0.00,0.0,0.0,60,40,47,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-12-09,,,0.00,0.0,0.0,58,27,35,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-12-10,,,0.00,0.0,0.0,66,33,,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-12-11,,,0.01,0.0,0.0,75,38,53,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-12-12,,,0.00,0.0,0.0,74,42,43,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-12-13,,,0.00,0.0,0.0,58,27,33,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-12-14,,,0.00,0.0,0.0,62,31,38,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-12-15,,,0.00,0.0,0.0,73,38,54,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-12-16,,,0.00,0.0,0.0,78,48,57,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-12-17,,,0.00,0.0,0.0,63,39,43,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-12-18,,,0.00,0.0,0.0,54,34,37,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-12-19,,,0.00,0.0,0.0,58,31,34,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-12-20,,,0.00,0.0,0.0,68,34,58,
